Skagway,AK,Skagway,"(59.4566,-135.2928)"
Skwentna,AK,Matanuska-Susitna,"(61.9314,-151.2096)"
Slana,AK,Valdez-Cordova,"(62.6294,-143.567)"
Sleetmute,AK,Bethel,"(61.6516,-157.1251)"
Soldotna,AK,Kenai Peninsula,"(60.4863,-151.0676)"
South Naknek,AK,Bristol Bay,"(58.6603,-156.9964)"
Spenard,AK,Anchorage,"(61.1886,-149.9064)"
Stebbins,AK,Nome,"(63.4685,-162.2587)"
Sterling,AK,Kenai Peninsula,"(60.5405,-150.8089)"
Stevens Village,AK,Yukon-Koyukuk,"(66.025,-149.0802)"
Stony River,AK,Bethel,"(61.7946,-156.5897)"
Sunrise,AK,Kenai Peninsula,"(60.8701,-149.4678)"
Sunshine,AK,Matanuska-Susitna,"(62.1678,-150.0731)"
Susitna,AK,Matanuska-Susitna,"(61.497,-150.6221)"
Sutton,AK,Matanuska-Susitna,"(61.7114,-148.8942)"
Takotna,AK,Yukon-Koyukuk,"(62.9823,-156.0841)"
Talkeetna,AK,Matanuska-Susitna,"(62.2753,-150.0814)"
Tanacross,AK,Southeast Fairbanks,"(63.3523,-143.431)"
Tanaina,AK,Matanuska-Susitna,"(61.656,-149.4272)"
Tanana,AK,Yukon-Koyukuk,"(65.1746,-152.0696)"
Tatitlek,AK,Valdez-Cordova,"(60.892,-146.6728)"
Tazlina,AK,Valdez-Cordova,"(62.0536,-145.4362)"
Tee Harbor,AK,Juneau,"(58.4103,-134.7558)"
Teller,AK,Nome,"(65.2521,-166.3388)"
Tenakee Springs,AK,Hoonah-Angoon,"(57.7924,-135.1982)"
Tetlin,AK,Southeast Fairbanks,"(63.1481,-142.4947)"
Thorne Bay,AK,Prince of Wales-Hyder,"(55.665,-132.5334)"
Togiak,AK,Dillingham,"(59.0685,-160.4762)"
Tok,AK,Southeast Fairbanks,"(63.3289,-143.0375)"
Toksook Bay,AK,Bethel,"(60.5354,-165.1385)"
Tolsona,AK,Valdez-Cordova,"(62.0844,-146.092)"
Tonsina,AK,Valdez-Cordova,"(61.5617,-145.0656)"
Trapper Creek,AK,Matanuska-Susitna,"(62.3189,-150.3965)"
Tuluksak,AK,Bethel,"(61.105,-160.9493)"
Tuntutuliak,AK,Bethel,"(60.3843,-162.6838)"
Tununak,AK,Bethel,"(60.5779,-165.212)"
Twin Hills,AK,Dillingham,"(59.0815,-160.2826)"
Two Rivers,AK,Fairbanks North Star,"(64.8908,-147.0898)"
Tyonek,AK,Kenai Peninsula,"(61.0734,-151.333)"
Ugashik,AK,Lake and Peninsula,"(57.5728,-157.1219)"
Unalakleet,AK,Nome,"(63.8961,-160.7873)"
